company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,total_seats,total_pax,load_factor,scheduled_ground,total_bags,bags_per_pax,transfer_bags,checked_bags,transfer_ratio,ssr_count,ssr_per_100pax,delay_minutes,difficulty_score,daily_rank,daily_rank_pct,difficulty_class
G7,4597,01-08-2025,ORD,ROA,01-08-2025 07:15,01-08-2025 10:14,50,73,1.46,664,35,0.479452055,29,0,0.828571429,1,1.369863014,-12,2.350189952,39,0.069518717,Difficult
G7,4391,02-08-2025,ORD,SGF,02-08-2025 20:06,02-08-2025 22:00,50,54,1.08,76,57,1.055555556,54,0,0.947368421,1,1.851851852,2,2.613686623,45,0.086538462,Difficult
G7,4599,02-08-2025,ORD,BHM,02-08-2025 19:45,02-08-2025 21:49,50,49,0.98,65,52,1.06122449,52,0,1,1,2.040816327,-4,2.360145217,55,0.105769231,Difficult
G7,4468,02-08-2025,ORD,LEX,02-08-2025 21:20,02-08-2025 23:50,50,69,1.38,145,47,0.68115942,45,0,0.957446809,1,1.449275362,14,2.198598823,64,0.123076923,Difficult
G7,4436,02-08-2025,ORD,SGF,02-08-2025 12:45,02-08-2025 14:31,50,66,1.32,65,56,0.848484849,40,0,0.714285714,1,1.515151515,-8,2.083720878,74,0.142307692,Difficult
G7,4613,03-08-2025,ORD,STL,03-08-2025 09:05,03-08-2025 10:40,50,60,1.2,72,69,1.15,57,0,0.826086957,1,1.666666667,43,4.282941158,9,0.016423358,Difficult
G7,4425,03-08-2025,ORD,GRR,03-08-2025 14:00,03-08-2025 16:04,50,52,1.04,45,50,0.961538462,33,0,0.66,1,1.923076923,-2,1.9842764,85,0.155109489,Difficult
G7,4387,03-08-2025,ORD,CID,03-08-2025 09:20,03-08-2025 10:40,50,53,1.06,96,40,0.754716981,40,0,1,1,1.886792453,-7,1.973346663,86,0.156934307,Difficult
G7,4559,03-08-2025,ORD,SDF,03-08-2025 10:55,03-08-2025 13:24,50,53,1.06,60,43,0.811320755,38,0,0.88372093,1,1.886792453,0,1.946218352,89,0.162408759,Difficult
G7,4481,04-08-2025,ORD,GRR,04-08-2025 07:00,04-08-2025 09:07,50,52,1.04,740,51,0.980769231,40,0,0.784313726,1,1.923076923,-6,3.023638286,51,0.090265487,Difficult
G7,4529,04-08-2025,ORD,SGF,04-08-2025 08:55,04-08-2025 10:48,50,54,1.08,50,38,0.703703704,32,0,0.842105263,1,1.851851852,28,1.998298018,93,0.16460177,Difficult
G7,4391,05-08-2025,ORD,SGF,05-08-2025 20:06,05-08-2025 22:00,50,54,1.08,76,57,1.055555556,47,0,0.824561404,1,1.851851852,-1,3.451434902,29,0.055028463,Difficult
G7,4502,05-08-2025,ORD,LEX,05-08-2025 10:50,05-08-2025 13:21,50,58,1.16,62,45,0.775862069,37,0,0.822222222,1,1.724137931,-10,2.371779068,57,0.108159393,Difficult
G7,4542,05-08-2025,ORD,LIT,05-08-2025 20:05,05-08-2025 22:16,50,58,1.16,70,41,0.706896552,38,0,0.926829268,1,1.724137931,-3,2.315685569,63,0.119544592,Difficult
G7,4484,05-08-2025,ORD,AVL,05-08-2025 18:15,05-08-2025 21:18,50,60,1.2,65,40,0.666666667,37,0,0.925,1,1.666666667,-2,2.286819184,64,0.121442125,Difficult
G7,4186,06-08-2025,ORD,MLI,06-08-2025 20:20,06-08-2025 21:37,50,30,0.6,90,36,1.2,36,0,1,1,3.333333333,-6,2.884420465,43,0.085657371,Difficult
G7,4549,06-08-2025,ORD,MLI,06-08-2025 14:00,06-08-2025 15:07,50,50,1,115,45,0.9,38,0,0.844444444,1,2,-7,2.300135079,64,0.12749004,Difficult
G7,4502,06-08-2025,ORD,LEX,06-08-2025 10:50,06-08-2025 13:21,50,47,0.94,64,41,0.872340426,39,0,0.951219512,1,2.127659574,-3,2.260892581,66,0.131474104,Difficult
G7,4389,06-08-2025,ORD,CID,06-08-2025 12:50,06-08-2025 14:04,50,61,1.22,50,39,0.639344262,33,0,0.846153846,1,1.639344262,-5,1.980945351,87,0.173306773,Difficult
G7,4611,07-08-2025,ORD,MDT,07-08-2025 07:15,07-08-2025 10:14,50,50,1,45,63,1.26,44,0,0.698412698,1,2,-2,3.357636778,27,0.048736462,Difficult
G7,4518,08-08-2025,ORD,STL,08-08-2025 16:47,08-08-2025 18:07,50,54,1.08,44,74,1.37037037,64,0,0.864864865,1,1.851851852,-2,5.060037865,6,0.010791367,Difficult
G7,4406,08-08-2025,ORD,TVC,08-08-2025 09:25,08-08-2025 11:54,50,58,1.16,80,40,0.689655172,40,0,1,1,1.724137931,-5,2.445981486,58,0.104316547,Difficult
G7,4597,08-08-2025,ORD,ROA,08-08-2025 07:15,08-08-2025 10:14,50,37,0.74,664,40,1.081081081,32,0,0.8,1,2.702702703,-10,1.97595771,88,0.158273381,Difficult
G7,4584,08-08-2025,ORD,TUL,08-08-2025 20:07,08-08-2025 22:15,50,45,0.9,72,42,0.933333333,33,0,0.785714286,1,2.222222222,18,1.817157776,103,0.185251799,Difficult
G7,4554,09-08-2025,ORD,GRB,09-08-2025 14:00,09-08-2025 15:11,50,59,1.18,71,80,1.355932203,72,0,0.9,1,1.694915254,0,4.297100894,11,0.021113244,Difficult
G7,4497,09-08-2025,ORD,ROA,09-08-2025 14:00,09-08-2025 16:58,50,52,1.04,60,63,1.211538462,42,0,0.666666667,1,1.923076923,-5,2.621917483,37,0.071017274,Difficult
G7,4416,09-08-2025,ORD,STL,09-08-2025 18:05,09-08-2025 19:31,50,59,1.18,65,53,0.898305085,51,0,0.962264151,1,1.694915254,7,2.317369059,54,0.103646833,Difficult
G7,4519,09-08-2025,ORD,SCE,09-08-2025 18:20,09-08-2025 21:24,50,60,1.2,75,50,0.833333333,49,0,0.98,1,1.666666667,16,2.121683482,61,0.117082534,Difficult
